Net,Sta,Lat,Lon,Elev,Start,End
1A,CORRE,67.5828 S,144.2750 E,0,2009,2012
1A,PIDGE,66.9820 S,143.8930 E,0,2009,2012
1A,PINGU,67.5955 S,146.0770 E,50,2009,2012
1A,PORMA,66.8184 S,141.3900 E,27,2009,2012
1B,BUMA,0.6944 N,30.0663 E,984,2006,2006
1B,BURO,0.8609 N,30.1708 E,980,2006,2006
1B,BWRA,0.0339 N,29.7663 E,1228,2008,2008
1B,HARU,0.0002 N,29.7611 E,1096,2006,2006
1B,HUMY,0.7632 N,30.0392 E,816,2006,2006
1B,ITOJ,0.8440 N,30.2293 E,1037,2006,2006
1B,JACA,0.2834 S,30.0405 E,995,2008,2008
1B,KABA,0.7754 N,30.1319 E,918,2006,2006
1B,KABE,0.8687 N,30.4739 E,1300,2006,2007
1B,KABG,0.6309 N,30.6498 E,1355,2006,2007
1B,KAGO,0.6823 N,30.4606 E,1524,2006,2007
1B,KARA,0.0845 N,29.8952 E,1221,2006,2007
1B,KARU,0.7893 N,30.2208 E,1110,2006,2007
1B,KAS2,0.0315 S,30.1493 E,916,2007,2007
1B,KASE,0.0283 S,30.1491 E,920,2006,2006
1B,KASS,0.5757 N,30.3100 E,1497,2006,2007
1B,KIBU,0.9300 N,30.2400 E,686,2006,2007
1B,KILE,0.2057 N,30.0080 E,1349,2006,2008
1B,KINY,0.5107 N,30.1262 E,1700,2006,2007
1B,KISA,0.5938 N,30.7424 E,1294,2006,2007
1B,KMTW,0.7425 N,30.3844 E,1556,2006,2007
1B,MIRA,0.6585 N,30.5689 E,1377,2006,2007
1B,MWEY,0.1905 S,29.8996 E,959,2006,2007
1B,NGIT,0.6424 N,30.0342 E,987,2006,2006
1B,NYAN,0.2060 N,30.4474 E,1302,2006,2007
1B,RUBO,0.3429 N,30.0384 E,1648,2006,2007
1B,RUGA,0.2552 S,30.1026 E,1359,2007,2007
1B,RWEB,0.3206 N,30.4920 E,1285,2007,2007
1B,SEML,0.9091 N,30.3557 E,729,2007,2007
1B,SEMP,0.8351 N,30.1680 E,708,2006,2007
2B,BB05,26.0093 S,68.2433 W,4339,2008,2009
2B,BB06,25.5459 S,68.3723 W,3833,2008,2009
2B,BB16,26.6296 S,65.8657 W,2224,2008,2009
2B,BB17,25.9144 S,65.8959 W,1623,2008,2009
2B,BB18,26.5429 S,66.3629 W,2984,2008,2009
2B,BB20,25.4388 S,66.7866 W,4284,2008,2009
2B,BB21,25.5359 S,65.9414 W,2507,2008,2009
2B,EW01,26.7406 S,67.0108 W,3720,2007,2009
2B,EW02,26.7507 S,66.8370 W,3213,2007,2009
2B,EW03,26.8589 S,66.7570 W,3238,2007,2009
2B,EW04,26.8106 S,66.5056 W,2671,2007,2009
2B,EW05,26.7859 S,66.2952 W,2339,2007,2009
2B,EW06,26.8492 S,66.1280 W,2244,2007,2009
2B,EW07,26.8950 S,66.0440 W,2295,2007,2009
